,title,deal_rating,mileage,price,stock_type,location
1236,2007 Dodge Ram 1500 SLT Quad Cab,Great Deal,"125,207 mi.","$9,999
$500 price drop",Used,"Fontana, CA"
1237,2012 Audi TT 2.0T Premium Plus,Good Deal,"94,251 mi.","$13,499
$1,500 price drop",Used,"Minneapolis, MN"
1238,2018 Toyota RAV4 Hybrid Limited,Good Deal,"87,712 mi.","$23,194",Used,"Quincy, IL"
1239,2008 Cadillac DTS Base,Great Deal,"57,336 mi.","$7,399",Used,"Chantilly, VA"
1240,2021 RAM 3500 Big Horn Crew Cab 4x4 8' Box,Good Deal,"63,838 mi.","$47,080",Used,"Orange, TX"
1241,2018 BMW ALPINA B7 xDrive,Good Deal,"38,508 mi.","$50,949",Used,"Cleveland, OH"
1242,2023 Genesis G80 2.5T,Good Deal,"13,434 mi.","$43,916
$825 price drop",Used,"Denham Springs, LA"
1243,2012 Suzuki SX4 Convenience AWD,Great Deal,"142,421 mi.","$8,995",Used,"Deer Park, WA"
1244,2008 Dodge Nitro SLT 4dr SUV 4WD,Good Deal,"63,104 mi.","$9,999",Used,"Hazleton, PA"
1245,2003 Lexus RX 300 Base,Great Deal,"121,279 mi.","$6,490",Used,"Largo, FL"
1246,2022 BMW X3 xDrive30i,Good Deal,"51,601 mi.","$32,098",Used,"Buford, GA"
1247,2021 Audi e-tron Premium Plus,Good Deal,"18,355 mi.","$36,995",Used,"Bellevue, WA"
1248,2019 Chevrolet Trax LT,Good Deal,"59,331 mi.","$14,995",Used,"Elkhorn, WI"
1249,2008 Dodge Ram 1500 Laramie Quad Cab,Fair Deal,"134,969 mi.","$13,000",Used,"Colton, CA"
1250,2012 Cadillac CTS-V Base,Great Deal,"43,269 mi.","$32,987",Used,"Frisco, TX"
1251,2023 Volvo XC60 B5 Plus Dark Theme,Good Deal,"12,311 mi.","$41,439
$856 price drop",Used,"Buffalo, NY"
1252,2005 Lotus Elise Base,Good Deal,"28,961 mi.","$41,869",Used,"New Prague, MN"
1253,1990 Nissan 300ZX GS,Great Deal,"21,680 mi.","$25,198
$185 price drop",Used,"Boulder, CO"
1254,2022 BMW Z4 M40i,Great Deal,"20,534 mi.","$50,900",Used,"Bentonville, AR"
1255,2015 Hyundai Genesis 3.8,Good Deal,"51,509 mi.","$18,430",Used,"OMAHA, NE"
1256,2008 BMW 135 135i,Fair Deal,"102,029 mi.","$14,990",Used,"Dallas, TX"
1257,2017 Cadillac ATS-V Base,Great Deal,"52,277 mi.","$36,937",Used,"Tyler, TX"
1258,2015 Toyota Highlander XLE,Good Deal,"143,184 mi.","$18,488
$1,510 price drop",Used,"Zainesville, OH"
1259,2016 Volkswagen e-Golf SEL Premium,Good Deal,"48,828 mi.","$9,987
$294 price drop",Used,"Santa Clara, CA"
1260,2023 Kia Sportage EX,Good Deal,"41,605 mi.","$26,995",Used,"Lafayette, LA"
1261,2018 Honda Civic EX-T,Good Deal,"58,876 mi.","$17,998",Used,"West Burlington, IA"
1262,2020 Jaguar E-PACE Base,Good Deal,"40,959 mi.","$23,995",Used,"San Juan, TX"
1263,2008 Pontiac Solstice Base,Fair Deal,"90,427 mi.","$10,500",Used,"Kennesaw, GA"
1264,2012 Volkswagen Beetle 2.5L,Great Deal,"54,843 mi.","$12,500",Used,"Malvern, PA"
1265,2013 BMW 135 i,Great Deal,"95,144 mi.","$13,395",Used,"Richardson, TX"
1266,2016 Mazda MX-5 Miata Club,Fair Deal,"27,141 mi.","$24,995",Used,"Claysburg, PA"
